přídavné_jméno,první_stupeň,druhý_stupeň
malý,menší,nejmenší,velký,větší,největší
světlý,světlejší,nejsvětlejší,tmavý,tmavší,nejtmavší
bílý,bělejší,nejbělejší,černý,černější,nejčernější
pěkný,hezčí,nejhezčí,ošklivý,ošklivější,nejošklivější
dobrý,lepší,nejlepší,špatný,horší,nejhorší
slaný,slanější,nejslanější,sladký,sladší,nejsladší
suchý,sušší,nejsušší,mokrý,mokřejší,nejmokřejší
teplý,teplejší,nejteplejší,studený,studenější,nejstudenější
hrubý,hrubší,nejhrubší,jemný,jemnější,nejjemnější
jednoduchý,jednodušší,nejjednodušší,složitý,složitější,nejsložitější
lehký,lehčí,nejlehčí,těžký,těžší,nejtěžší
krátký,kratší,nejkratší,dlouhý,delší,nejdelší
silný,silnější,nejsilnější,slabý,slabší,nejslabší
tvrdý,tvrdší,nejtvrdší,měkký,měkčí,nejměkčí
vysoký,vyšší,nejvyšší,nízký,nižší,nejnižší
tlustý,tlustší,nejtlustší,tenký,tenčí,nejtenčí
široký,širší,nejširší,úzký,užší,nejužší
rychlý,rychlejší,nejrychlejší,pomalý,pomalejší,nejpomalejší
prázdný,prázdnější,nejprázdnější,plný,plnější,nejplnější
čistý,čistší,nejčistší,špinavý,špinavější,nejšpinavější
blízký,bližší,nejbližší,vzdálený,vzdálenější,nejvzdálenější
starý,starší,nejstarší,nový,novější,nejnovější
chytrý,chytřejší,nejchytřejší,hloupý,hloupější,nejhloupější
ostrý,ostřejší,nejostřejší,zaoblený,zaoblenější,nejzaoblenější
líný,línější,nejlínější,pilný,pilnější,nejpilnější
aktivní,aktivnější,nejaktivnější,pasivní,pasivnější,nejpasivnější
nudný,nudnější,nejnudnější,zábavný,zábavnější,nejzábavnější
smutný,smutnější,nejsmutnější,šťastný,šťasnější,nejšťastnější
statečný,statečnější,nejstatečnější,zbabělý,zbabělejší,nejzbabělejší
bohatý,bohatší,nejbohatší,chudý,chudší,nejchudší
hluboký,hlubší,nejhlubší,mělký,mělčí,nejmělčí
nemocný,nemocnější,nejnemocnější,zdravý,zdravější,nejzdravější
hezký,hezčí,nejhezčí,ošklivý,ošklivější,nejošklivější
drahý,dražší,nejdražší,levný,levnější,nejlevnější
sladký,sladší,nejsladší,kyselý,kyselejší,nejkyselejší
rovný,rovnější,nejrovnější,křivý,křivější,nejkřivější
pracovitý,pracovitější,nejpracovitější,líný,línější,nejlínější
chladný,chladnější,nejchladnější,teplý,teplejší,nejteplejší
horký,horčejší,nejhorčejší,studený,studenější,nejstudenější
mužský,mužnější,nejmužnější,ženský,ženštější,nejženštější
