sloveso,antonym
obléci,vysvléci
zmenšit,zvětšit
měknout,tvrdnout
stabilizovat,destabilizovat
umřít,narodit
zchladit,zahřát
zjednodušit,zkomplikovat
centralizovat,decentralizovat
ztvrdnout,změknout
sečíst,odečíst
vynásobit,vydělit
nedocenit,ocenit
existovat,neexistovat
spojit,uvolnit
zašifrovat,rozluštit
vázat,uvolnit
napadat,hájit
zapnout,rozepnout
stáhnout,natáhnout
odpojit,zapojit
slyšet,neslyšet
dojít,odejít
rozsvítit,zhasnout
smontovat,rozložit
koupit,prodat
narovnat,ohnout
začínat,končit
zorientovat,dezorientovat
koupit,prodat
dávat,brát
stát,sedět
vystoupit,nastoupit
získat,ztratit
zapsat,vymazat
