podst.jm,plural
právo,práva
místo,místa
slovo,slova
dílo,díla
procento,procenta
číslo,čísla
auto,auta
pravidlo,pravidla
faktum,fakta
jméno,jména
středisko,střediska
letadlo,letadla
sto,sta
zavazadlo,zavazadla
desetiletí,desetiletí
periodikum,periodika
tělo,těla
tvrzení,tvrzení
vozidlo,vozidla
město,města
vojsko,vojska
hledisko,hlediska
vévodství,vévodství
strašidlo,strašidla
zvíře,zvířata
družstvo,družstva
riziko,rizika
téma,témata
kritérium,kritéria
okno,okna
stanovisko,stanoviska
světlo,světla
sako,saka
měřítko,měřítka
jídlo,jídla
eso,esa
křeslo,křesla

